station,stationLabel,stationID,transportNetworkLabel,address,linjerLabel,connectingLineLabel,årstal,geoLatitude,geoLongitude
"http://www.wikidata.org/entity/Q801282,Nørreport Station,8600646,S-tog,""Nørre Voldgade 13, 1358 København K"",InterCity,Nordbanen,1918-07-01T00:00:00Z,55.683333,12.571667"
"http://www.wikidata.org/entity/Q801282,Nørreport Station,8600646,S-tog,""Nørre Voldgade 13, 1358 København K"",Linje H,Nordbanen,1918-07-01T00:00:00Z,55.683333,12.571667"
"http://www.wikidata.org/entity/Q801282,Nørreport Station,8600646,S-tog,""Nørre Voldgade 13, 1358 København K"",Linje B,Nordbanen,1918-07-01T00:00:00Z,55.683333,12.571667"
"http://www.wikidata.org/entity/Q801282,Nørreport Station,8600646,S-tog,""Nørre Voldgade 13, 1358 København K"",Linje Bx,Nordbanen,1918-07-01T00:00:00Z,55.683333,12.571667"
"http://www.wikidata.org/entity/Q801282,Nørreport Station,8600646,S-tog,""Nørre Voldgade 13, 1358 København K"",Linje A,Nordbanen,1918-07-01T00:00:00Z,55.683333,12.571667"
"http://www.wikidata.org/entity/Q801282,Nørreport Station,8600646,S-tog,""Nørre Voldgade 13, 1358 København K"",Linje C,Nordbanen,1918-07-01T00:00:00Z,55.683333,12.571667"
"http://www.wikidata.org/entity/Q801282,Nørreport Station,8600646,S-tog,""Nørre Voldgade 13, 1358 København K"",Linje E,Nordbanen,1918-07-01T00:00:00Z,55.683333,12.571667"
"http://www.wikidata.org/entity/Q801282,Nørreport Station,8600646,S-tog,""Nørre Voldgade 13, 1358 København K"",Øresundstogtrafikken,Nordbanen,1918-07-01T00:00:00Z,55.683333,12.571667"
"http://www.wikidata.org/entity/Q801282,Nørreport Station,8600646,S-tog,""Nørre Voldgade 13, 1358 København K"",Regionaltog,Nordbanen,1918-07-01T00:00:00Z,55.683333,12.571667"
"http://www.wikidata.org/entity/Q801282,Nørreport Station,8600646,S-tog,""Nørre Voldgade 13, 1358 København K"",InterCity,Kystbanen,1918-07-01T00:00:00Z,55.683333,12.571667"
"http://www.wikidata.org/entity/Q801282,Nørreport Station,8600646,S-tog,""Nørre Voldgade 13, 1358 København K"",Linje H,Kystbanen,1918-07-01T00:00:00Z,55.683333,12.571667"
"http://www.wikidata.org/entity/Q801282,Nørreport Station,8600646,S-tog,""Nørre Voldgade 13, 1358 København K"",Linje B,Kystbanen,1918-07-01T00:00:00Z,55.683333,12.571667"
